"protein_class_pref_name","protein_class_short_name","diseaseName","Percentage_Bioactivities","No_Drug_Efficacy_Target_Annotations","Target_class_Connectivity"
"AGC protein kinase AKT family","Akt","Muscular Atrophy",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Myocardial Diseases, Secondary",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Neoplasm of uncertain or unknown behavior of breast",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Neoplasm of uncertain or unknown behavior of ovary",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Neurogenic Muscular Atrophy",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Non-Small Cell Lung Carcinoma",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Obesity",0.10470936765757484,0,5
"AGC protein kinase AKT family","Akt","Olfactory Groove Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Osteosarcoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Ovarian Carcinoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Pain",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Pain, Burning",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Pain, Crushing",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Pain, Migratory",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Pain, Splitting",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Papillary Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Parasagittal Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Polyposis, Adenomatous Intestinal",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Posterior Fossa Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Precancerous Conditions",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Prostatic Neoplasms",0.10470936765757484,0,2
"AGC protein kinase AKT family","Akt","Proteus Syndrome",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Proteus-Like Syndrome (disorder)",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Psammomatous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Psychoses, Drug",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Psychoses, Substance-Induced",0.10470936765757484,0,4
"AGC protein kinase AKT family","Akt","Radiating pain",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","Schizophrenia",0.10470936765757484,0,13
"AGC protein kinase AKT family","Akt","Secretory meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Skin Neoplasms",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Small cell carcinoma of lung",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Sphenoid Wing Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Spinal Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Squamous cell carcinoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Squamous cell carcinoma of the head and neck",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Suffering, Physical",0.10470936765757484,0,6
"AGC protein kinase AKT family","Akt","T-Cell Lymphoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Transitional Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","Xanthomatous Meningioma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","melanoma",0.10470936765757484,0,1
"AGC protein kinase AKT family","Akt","ovarian neoplasm",0.10470936765757484,0,2
"AGC protein kinase PKC delta subfamily","Delta","Adenocarcinoma of large intestine",0.005107774032076821,0,3
"AGC protein kinase PKC delta subfamily","Delta","Brittle diabetes",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Diabetes Mellitus, Insulin-Dependent",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Diabetes Mellitus, Ketosis-Prone",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Diabetes, Autoimmune",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Granulomatous Slack Skin",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Lymphoma, T-Cell, Cutaneous",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Retinal Detachment",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Retinal Pigment Epithelial Detachment",0.005107774032076821,0,1
"AGC protein kinase PKC delta subfamily","Delta","Rheumatoid Arthritis",0.005107774032076821,0,4
"AGC protein kinase SGK family","Sgk","Acute Myeloid Leukemia (AML-M2)",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Acute Myeloid Leukemia, M1",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Anaplastic carcinoma",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Animal Mammary Neoplasms",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Asymmetric Diabetic Proximal Motor Neuropathy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Carcinoma",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Carcinoma, Spindle-Cell",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Carcinomatosis",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Amyotrophy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Asymmetric Polyneuropathy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Autonomic Neuropathy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Mononeuropathy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Neuralgia",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Neuropathies",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diabetic Polyneuropathies",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Diffuse Large B-Cell Lymphoma",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Leukemia, Myelocytic, Acute",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Major Depressive Disorder",0.0025538870160384105,0,8
"AGC protein kinase SGK family","Sgk","Mammary Carcinoma, Animal",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Mammary Neoplasms, Experimental",0.0025538870160384105,0,2
"AGC protein kinase SGK family","Sgk","Symmetric Diabetic Proximal Motor Neuropathy",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Undifferentiated carcinoma",0.0025538870160384105,0,1
"AGC protein kinase SGK family","Sgk","Unipolar Depression",0.0025538870160384105,0,11
"AGC protein kinase SGK family","Sgk","Uremia",0.0025538870160384105,0,1
"Acetylcholine receptor","Acetylcholine receptor","Abdominal Cryptorchidism",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Absence Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Age-Related Memory Disorders",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Ascites",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Atonic Absence Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Aura",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Awakening Epilepsy",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Bilateral Cryptorchidism",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Brain Ischemia",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Cakut",0.342220860149147,2,2
"Acetylcholine receptor","Acetylcholine receptor","Cerebral Ischemia",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Chemical and Drug Induced Liver Injury",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Chemically-Induced Liver Toxicity",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Complex partial seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Convulsions",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Convulsive Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Cryptorchidism",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Drug-Induced Acute Liver Injury",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Drug-Induced Liver Disease",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Epilepsy",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Epilepsy, Cryptogenic",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Epileptic Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Epileptic drop attack",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Fibrosis, Liver",0.342220860149147,2,4
"Acetylcholine receptor","Acetylcholine receptor","Generalized Absence Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Generalized seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Gustatory seizure",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Hepatitis, Drug-Induced",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Hepatitis, Toxic",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Inguinal Cryptorchidism",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Jacksonian Seizure",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Liver Cirrhosis",0.342220860149147,2,4
"Acetylcholine receptor","Acetylcholine receptor","Memory Disorder, Semantic",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Memory Disorder, Spatial",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Memory Disorders",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Memory Loss",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Memory impairment",0.342220860149147,2,3
"Acetylcholine receptor","Acetylcholine receptor","Myoclonic Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Non-epileptic convulsion",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Nonepileptic Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Olfactory seizure",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Prune Belly Syndrome",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Schizophrenia",0.342220860149147,2,13
"Acetylcholine receptor","Acetylcholine receptor","Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Seizures, Auditory",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Seizures, Clonic",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Seizures, Focal",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Seizures, Sensory",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Seizures, Somatosensory",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Single Seizure",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Tonic - clonic seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Tonic Seizures",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Unilateral Cryptorchidism",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Urethral obstruction sequence",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Urinary Bladder Diseases",0.342220860149147,2,1
"Acetylcholine receptor","Acetylcholine receptor","Vertiginous seizure",0.342220860149147,2,6
"Acetylcholine receptor","Acetylcholine receptor","Visual seizure",0.342220860149147,2,6
"Adenosine receptor","Adenosine receptor","Absence Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Action Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Adverse reaction to drug",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Amphetamine Abuse",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Amphetamine Addiction",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Amphetamine-Related Disorders",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Anxiety Disorders",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Anxiety States, Neurotic",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Anxiety neurosis (finding)",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Atonic Absence Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Bradycardia",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Brain Stem Ischemia, Transient",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Cardiomyopathies",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Cardiomyopathies, Primary",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Carotid Circulation Transient Ischemic Attack",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Catalepsy",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Chronic Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Coarse Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Colorectal Cancer",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Complex partial seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Continuous Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Convulsions",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Convulsive Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Crescendo Transient Ischemic Attacks",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Darkness Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Depression, Neurotic",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Depressive Syndrome",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Depressive disorder",3.1846971089998974,4,10
"Adenosine receptor","Adenosine receptor","Drug Allergy",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Drug Withdrawal Symptoms",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Drug toxicity",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Early Awakening",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Embolic Infarction, Middle Cerebral Artery",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Endogenous depression",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Epileptic Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Epileptic drop attack",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Etat Marbre",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Fine Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Generalized Absence Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Generalized seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Gustatory seizure",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Hyperactive behavior",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Hyperkinesia, Generalized",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Hypotension",3.1846971089998974,4,7
"Adenosine receptor","Adenosine receptor","Infarction, Middle Cerebral Artery",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Intermittent Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Involuntary Quiver",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Ischemia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Jacksonian Seizure",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Left Middle Cerebral Artery Infarction",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Liver Cirrhosis, Experimental",3.1846971089998974,4,7
"Adenosine receptor","Adenosine receptor","Massive Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Melancholia",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Middle Cerebral Artery Embolus",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Middle Cerebral Artery Occlusion",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Middle Cerebral Artery Syndrome",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Middle Cerebral Artery Thrombosis",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Mood Disorders",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Movement Disorders",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Myocardial Diseases, Secondary",3.1846971089998974,4,5
"Adenosine receptor","Adenosine receptor","Myocardial Infarction",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Myoclonic Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Neoplasm Metastasis",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Nerve Degeneration",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Nerve Tremors",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Non-epileptic convulsion",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Nonepileptic Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Nonorganic Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Olfactory seizure",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Panic Attacks",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Panic Disorder",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Passive Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Perinatal Subarachnoid Hemorrhage",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Persistent Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Pill Rolling Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Posterior Circulation Transient Ischemic Attack",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Prenatal Exposure Delayed Effects",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Primary Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Psychophysiological Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Psychoses, Drug",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Psychoses, Substance-Induced",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Pyemia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Rebound Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Reperfusion Injury",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Resting Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Rheumatoid Arthritis",3.1846971089998974,4,4
"Adenosine receptor","Adenosine receptor","Right Middle Cerebral Artery Infarction",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Saturnine Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Schizophrenia",3.1846971089998974,4,13
"Adenosine receptor","Adenosine receptor","Secondary Insomnia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Seizures",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Seizures, Auditory",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Seizures, Clonic",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Seizures, Focal",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Seizures, Sensory",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Seizures, Somatosensory",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Senile Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Sepsis",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Septicemia",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Severe Sepsis",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Single Seizure",3.1846971089998974,4,6
"Adenosine receptor","Adenosine receptor","Sleep Initiation Dysfunction",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Sleep Initiation and Maintenance Disorders",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Sleeplessness",3.1846971089998974,4,1
"Adenosine receptor","Adenosine receptor","Static Tremor",3.1846971089998974,4,3
"Adenosine receptor","Adenosine receptor","Subarachnoid Hemorrhage",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Subarachnoid Hemorrhage, Aneurysmal",3.1846971089998974,4,2
"Adenosine receptor","Adenosine receptor","Subarachnoid Hemorrhage, Intracranial",3.1846971089998974,4,2
