"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Serine/threonine-protein kinase AKT","Breast Carcinoma",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Breast Carcinoma",132,1,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase PAK 1","Breast Carcinoma",6,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Breast Carcinoma",26,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Breast Carcinoma",192,7,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Breast Carcinoma",165,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase BTK","Breast Carcinoma",17,0,"Tyrosine protein kinase Tec family"
"Tyrosine-protein kinase SRC","Breast Carcinoma",627,3,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Breast Carcinoma",225,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Breast Carcinoma",1515,3,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms",58,0,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Mammary Neoplasms",56,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Mammary Neoplasms",1202,1,"Cannabinoid receptor"
"Endothelin receptor ET-B","Mammary Neoplasms",19,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Mammary Neoplasms",20,0,"Tyrosine protein kinase FGFR family"
"Insulin-like growth factor I receptor","Mammary Neoplasms",208,0,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Mammary Neoplasms",120,2,"Tyrosine protein kinase PDGFR family"
"Serine-protein kinase ATM","Mammary Neoplasms",6,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Mammary Neoplasms",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 1","Mammary Neoplasms",6,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Mammary Neoplasms",26,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Mammary Neoplasms",192,7,"Tyrosine protein kinase PDGFR family"
"TGF-beta receptor type II","Mammary Neoplasms",20,0,"TKL protein kinase STKR Type 2 subfamily"
"Tyrosine-protein kinase ABL","Mammary Neoplasms",165,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase SRC","Mammary Neoplasms",627,3,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Mammary Neoplasms",225,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Mammary Neoplasms",1515,3,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms, Human",58,0,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Mammary Neoplasms, Human",56,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Mammary Neoplasms, Human",1202,1,"Cannabinoid receptor"
"Endothelin receptor ET-B","Mammary Neoplasms, Human",19,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Mammary Neoplasms, Human",20,0,"Tyrosine protein kinase FGFR family"
"Insulin-like growth factor I receptor","Mammary Neoplasms, Human",208,0,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Mammary Neoplasms, Human",120,2,"Tyrosine protein kinase PDGFR family"
"Serine-protein kinase ATM","Mammary Neoplasms, Human",6,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Mammary Neoplasms, Human",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 1","Mammary Neoplasms, Human",6,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Mammary Neoplasms, Human",26,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Mammary Neoplasms, Human",192,7,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Mammary Neoplasms, Human",165,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase SRC","Mammary Neoplasms, Human",627,3,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Mammary Neoplasms, Human",225,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Mammary Neoplasms, Human",1515,3,"Tyrosine protein kinase VEGFR family"
"CaM kinase II alpha","Alcoholic Intoxication, Chronic",10,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Alcoholic Intoxication, Chronic",1202,1,"Cannabinoid receptor"
"Delta opioid receptor","Alcoholic Intoxication, Chronic",877,0,"Opioid receptor"
"Kappa opioid receptor","Alcoholic Intoxication, Chronic",1050,1,"Opioid receptor"
"Mu opioid receptor","Alcoholic Intoxication, Chronic",1087,4,"Opioid receptor"
"Protein tyrosine kinase 2 beta","Alcoholic Intoxication, Chronic",9,0,"Tyrosine protein kinase Fak family"
"Tyrosine-protein kinase FYN","Alcoholic Intoxication, Chronic",39,0,"Tyrosine protein kinase Src family"
"CaM kinase II alpha","Depressive disorder",10,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Depressive disorder",1202,1,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Depressive disorder",20,0,"Tyrosine protein kinase FGFR family"
"Kappa opioid receptor","Depressive disorder",1050,1,"Opioid receptor"
"MAP kinase ERK1","Depressive disorder",38,0,"CMGC protein kinase ERK subfamily"
"Mu opioid receptor","Depressive disorder",1087,4,"Opioid receptor"
"Serine/threonine-protein kinase AKT","Depressive disorder",390,0,"AGC protein kinase AKT family"
"CaM kinase II alpha","Mental Depression",10,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Mental Depression",1202,1,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Mental Depression",20,0,"Tyrosine protein kinase FGFR family"
"Kappa opioid receptor","Mental Depression",1050,1,"Opioid receptor"
"MAP kinase ERK1","Mental Depression",38,0,"CMGC protein kinase ERK subfamily"
"Mu opioid receptor","Mental Depression",1087,4,"Opioid receptor"
"Serine/threonine-protein kinase AKT","Mental Depression",390,0,"AGC protein kinase AKT family"
"CaM kinase IV","Adenocarcinoma of lung (disorder)",5,0,"CAMK protein kinase CAMK1 family"
"DNA-dependent protein kinase","Adenocarcinoma of lung (disorder)",221,0,"Atypical protein kinase PIKK family"
"Dual specificity mitogen-activated protein kinase kinase 1","Adenocarcinoma of lung (disorder)",134,0,"STE protein kinase STE7 family"
"Fibroblast growth factor receptor 2","Adenocarcinoma of lung (disorder)",20,0,"Tyrosine protein kinase FGFR family"
"Interferon-induced, double-stranded RNA-activated protein kinase","Adenocarcinoma of lung (disorder)",12,0,"Other protein kinase PKR"
"Interleukin-1 receptor-associated kinase 1","Adenocarcinoma of lung (disorder)",2,0,"TKL protein kinase IRAK family"
"MAP kinase p38 alpha","Adenocarcinoma of lung (disorder)",736,5,"CMGC protein kinase p38 subfamily"
"Non-receptor tyrosine-protein kinase TNK1","Adenocarcinoma of lung (disorder)",12,0,"Tyrosine protein kinase Ack family"
"Serine-protein kinase ATM","Adenocarcinoma of lung (disorder)",6,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase 11","Adenocarcinoma of lung (disorder)",7,0,"CAMK protein kinase LKB subfamily"
"Serine/threonine-protein kinase AKT","Adenocarcinoma of lung (disorder)",390,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Adenocarcinoma of lung (disorder)",132,1,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase D2","Adenocarcinoma of lung (disorder)",12,0,"CAMK protein kinase PKD family"
"Serine/threonine-protein kinase RAF","Adenocarcinoma of lung (disorder)",26,0,"TKL protein kinase RAF family"
"Tyrosine kinase non-receptor protein 2","Adenocarcinoma of lung (disorder)",10,0,"Tyrosine protein kinase Ack family"
"Tyrosine-protein kinase TEC","Adenocarcinoma of lung (disorder)",6,0,"Tyrosine protein kinase Tec family"
"Vascular endothelial growth factor receptor 1","Adenocarcinoma of lung (disorder)",225,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Adenocarcinoma of lung (disorder)",1515,3,"Tyrosine protein kinase VEGFR family"
"CaM kinase II alpha","Cocaine Dependence",10,0,"CAMK protein kinase CAMK2 family"
"CaM kinase II beta","Cocaine Dependence",7,0,"CAMK protein kinase CAMK2 family"
"CaM kinase IV","Cocaine Dependence",5,0,"CAMK protein kinase CAMK1 family"
"Delta opioid receptor","Cocaine Dependence",877,0,"Opioid receptor"
"Kappa opioid receptor","Cocaine Dependence",1050,1,"Opioid receptor"
"MAP kinase ERK1","Cocaine Dependence",38,0,"CMGC protein kinase ERK subfamily"
"MAP kinase ERK2","Cocaine Dependence",74,0,"CMGC protein kinase ERK subfamily"
"Mu opioid receptor","Cocaine Dependence",1087,4,"Opioid receptor"
"Ribosomal protein S6 kinase alpha 5","Cocaine Dependence",63,0,"CAMK protein kinase MSKb subfamily"
"Tyrosine-protein kinase TYK2","Cocaine Dependence",11,0,"Tyrosine protein kinase JakB family"
