"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"biosynthetic process","NF-kappa-B essential modulator",1,0
"cell death","NF-kappa-B essential modulator",1,0
"cellular nitrogen compound metabolic process","NF-kappa-B essential modulator",1,0
"cellular protein modification process","NF-kappa-B essential modulator",1,0
"immune system process","NF-kappa-B essential modulator",1,0
"phosphorylation","NF-kappa-B essential modulator",1,0
"positive regulation of catalytic activity","NF-kappa-B essential modulator",1,0
"response to stress","NF-kappa-B essential modulator",1,0
"signal transduction","NF-kappa-B essential modulator",1,0
"symbiosis, encompassing mutualism through parasitism","NF-kappa-B essential modulator",1,0
"aging","Nerve growth factor receptor Trk-A",109,0
"anatomical structure development","Nerve growth factor receptor Trk-A",109,0
"cell death","Nerve growth factor receptor Trk-A",109,0
"cell differentiation","Nerve growth factor receptor Trk-A",109,0
"cell morphogenesis","Nerve growth factor receptor Trk-A",109,0
"cellular protein modification process","Nerve growth factor receptor Trk-A",109,0
"immune system process","Nerve growth factor receptor Trk-A",109,0
"locomotion","Nerve growth factor receptor Trk-A",109,0
"microtubule-based process","Nerve growth factor receptor Trk-A",109,0
"multicellular organismal development","Nerve growth factor receptor Trk-A",109,0
"neurological system process","Nerve growth factor receptor Trk-A",109,0
"phosphorylation","Nerve growth factor receptor Trk-A",109,0
"positive regulation of catalytic activity","Nerve growth factor receptor Trk-A",109,0
"reproduction","Nerve growth factor receptor Trk-A",109,0
"response to stress","Nerve growth factor receptor Trk-A",109,0
"signal transduction","Nerve growth factor receptor Trk-A",109,0
"biosynthetic process","Phosphorylase kinase gamma subunit 2",13,0
"carbohydrate metabolic process","Phosphorylase kinase gamma subunit 2",13,0
"catabolic process","Phosphorylase kinase gamma subunit 2",13,0
"cellular protein modification process","Phosphorylase kinase gamma subunit 2",13,0
"generation of precursor metabolites and energy","Phosphorylase kinase gamma subunit 2",13,0
"phosphorylation","Phosphorylase kinase gamma subunit 2",13,0
"anatomical structure formation involved in morphogenesis","Platelet-derived growth factor receptor beta",165,2
"biosynthetic process","Platelet-derived growth factor receptor beta",165,2
"cell differentiation","Platelet-derived growth factor receptor beta",165,2
"cell motility","Platelet-derived growth factor receptor beta",165,2
"cell proliferation","Platelet-derived growth factor receptor beta",165,2
"cellular component assembly","Platelet-derived growth factor receptor beta",165,2
"cellular protein modification process","Platelet-derived growth factor receptor beta",165,2
"cytoskeleton organization","Platelet-derived growth factor receptor beta",165,2
"lipid metabolic process","Platelet-derived growth factor receptor beta",165,2
"locomotion","Platelet-derived growth factor receptor beta",165,2
"multicellular organismal development","Platelet-derived growth factor receptor beta",165,2
"phosphorylation","Platelet-derived growth factor receptor beta",165,2
"positive regulation of catalytic activity","Platelet-derived growth factor receptor beta",165,2
"response to stress","Platelet-derived growth factor receptor beta",165,2
"response to toxic substance","Platelet-derived growth factor receptor beta",165,2
"signal transduction","Platelet-derived growth factor receptor beta",165,2
"cell-cell signaling","Protein kinase C gamma",44,0
"cellular protein modification process","Protein kinase C gamma",44,0
"multicellular organismal development","Protein kinase C gamma",44,0
"neurological system process","Protein kinase C gamma",44,0
"phosphorylation","Protein kinase C gamma",44,0
"response to stress","Protein kinase C gamma",44,0
"signal transduction","Protein kinase C gamma",44,0
"anatomical structure formation involved in morphogenesis","Protein kinase C mu",11,0
"biosynthetic process","Protein kinase C mu",11,0
"cell death","Protein kinase C mu",11,0
"cell differentiation","Protein kinase C mu",11,0
"cell proliferation","Protein kinase C mu",11,0
"cellular protein modification process","Protein kinase C mu",11,0
"immune system process","Protein kinase C mu",11,0
"lipid metabolic process","Protein kinase C mu",11,0
"multicellular organismal development","Protein kinase C mu",11,0
"phosphorylation","Protein kinase C mu",11,0
"positive regulation of catalytic activity","Protein kinase C mu",11,0
"response to stress","Protein kinase C mu",11,0
"signal transduction","Protein kinase C mu",11,0
"vesicle-mediated transport","Protein kinase C mu",11,0
"cell cycle","Ribosomal protein S6 kinase alpha 3",18,0
"cell death","Ribosomal protein S6 kinase alpha 3",18,0
"cellular protein modification process","Ribosomal protein S6 kinase alpha 3",18,0
"immune system process","Ribosomal protein S6 kinase alpha 3",18,0
"multicellular organismal development","Ribosomal protein S6 kinase alpha 3",18,0
"negative regulation of endopeptidase activity","Ribosomal protein S6 kinase alpha 3",18,0
"phosphorylation","Ribosomal protein S6 kinase alpha 3",18,0
"response to stress","Ribosomal protein S6 kinase alpha 3",18,0
"signal transduction","Ribosomal protein S6 kinase alpha 3",18,0
"aging","Serine/threonine-protein kinase AKT",390,0
"anatomical structure development","Serine/threonine-protein kinase AKT",390,0
"biosynthetic process","Serine/threonine-protein kinase AKT",390,0
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",390,0
"catabolic process","Serine/threonine-protein kinase AKT",390,0
"cell death","Serine/threonine-protein kinase AKT",390,0
"cell differentiation","Serine/threonine-protein kinase AKT",390,0
"cell proliferation","Serine/threonine-protein kinase AKT",390,0
"cell-cell signaling","Serine/threonine-protein kinase AKT",390,0
"cellular nitrogen compound metabolic process","Serine/threonine-protein kinase AKT",390,0
"cellular protein modification process","Serine/threonine-protein kinase AKT",390,0
"circulatory system process","Serine/threonine-protein kinase AKT",390,0
"embryo development","Serine/threonine-protein kinase AKT",390,0
"female pregnancy","Serine/threonine-protein kinase AKT",390,0
"generation of precursor metabolites and energy","Serine/threonine-protein kinase AKT",390,0
"homeostatic process","Serine/threonine-protein kinase AKT",390,0
"immune system process","Serine/threonine-protein kinase AKT",390,0
"metabolic process","Serine/threonine-protein kinase AKT",390,0
"mitochondrion organization","Serine/threonine-protein kinase AKT",390,0
"multicellular organismal development","Serine/threonine-protein kinase AKT",390,0
"negative regulation of endopeptidase activity","Serine/threonine-protein kinase AKT",390,0
"nucleocytoplasmic transport","Serine/threonine-protein kinase AKT",390,0
"phosphorylation","Serine/threonine-protein kinase AKT",390,0
"plasma membrane organization","Serine/threonine-protein kinase AKT",390,0
"positive regulation of apoptotic process","Serine/threonine-protein kinase AKT",390,0
"positive regulation of catalytic activity","Serine/threonine-protein kinase AKT",390,0
"protein targeting","Serine/threonine-protein kinase AKT",390,0
"regulation of catalytic activity","Serine/threonine-protein kinase AKT",390,0
"regulation of protein localization","Serine/threonine-protein kinase AKT",390,0
"reproduction","Serine/threonine-protein kinase AKT",390,0
"response to stress","Serine/threonine-protein kinase AKT",390,0
"signal transduction","Serine/threonine-protein kinase AKT",390,0
"small molecule metabolic process","Serine/threonine-protein kinase AKT",390,0
"translation","Serine/threonine-protein kinase AKT",390,0
"transport","Serine/threonine-protein kinase AKT",390,0
"cellular protein modification process","Serine/threonine-protein kinase AKT3",63,0
"mitochondrion organization","Serine/threonine-protein kinase AKT3",63,0
"phosphorylation","Serine/threonine-protein kinase AKT3",63,0
"signal transduction","Serine/threonine-protein kinase AKT3",63,0
"anatomical structure development","Serine/threonine-protein kinase B-raf",132,1
"cell adhesion","Serine/threonine-protein kinase B-raf",132,1
"cell differentiation","Serine/threonine-protein kinase B-raf",132,1
"cellular protein modification process","Serine/threonine-protein kinase B-raf",132,1
"cellular response to drug","Serine/threonine-protein kinase B-raf",132,1
"immune system process","Serine/threonine-protein kinase B-raf",132,1
"membrane organization","Serine/threonine-protein kinase B-raf",132,1
"multicellular organismal development","Serine/threonine-protein kinase B-raf",132,1
"neurological system process","Serine/threonine-protein kinase B-raf",132,1
"phosphorylation","Serine/threonine-protein kinase B-raf",132,1
"positive regulation of catalytic activity","Serine/threonine-protein kinase B-raf",132,1
"protein complex assembly","Serine/threonine-protein kinase B-raf",132,1
"signal transduction","Serine/threonine-protein kinase B-raf",132,1
"transport","Serine/threonine-protein kinase B-raf",132,1
"anatomical structure formation involved in morphogenesis","Serine/threonine-protein kinase Nek1",2,0
"cell cycle","Serine/threonine-protein kinase Nek1",2,0
"cell division","Serine/threonine-protein kinase Nek1",2,0
"cell morphogenesis","Serine/threonine-protein kinase Nek1",2,0
"cellular component assembly","Serine/threonine-protein kinase Nek1",2,0
"cellular protein modification process","Serine/threonine-protein kinase Nek1",2,0
"mitotic nuclear division","Serine/threonine-protein kinase Nek1",2,0
"phosphorylation","Serine/threonine-protein kinase Nek1",2,0
"signal transduction","Serine/threonine-protein kinase Nek1",2,0
"cell differentiation","Serine/threonine-protein kinase PAK 3",9,0
"cell morphogenesis","Serine/threonine-protein kinase PAK 3",9,0
"cellular protein modification process","Serine/threonine-protein kinase PAK 3",9,0
"immune system process","Serine/threonine-protein kinase PAK 3",9,0
"metabolic process","Serine/threonine-protein kinase PAK 3",9,0
"multicellular organismal development","Serine/threonine-protein kinase PAK 3",9,0
"phosphorylation","Serine/threonine-protein kinase PAK 3",9,0
"positive regulation of apoptotic process","Serine/threonine-protein kinase PAK 3",9,0
"positive regulation of catalytic activity","Serine/threonine-protein kinase PAK 3",9,0
"signal transduction","Serine/threonine-protein kinase PAK 3",9,0
"cell differentiation","Serine/threonine-protein kinase PCTAIRE-1",20,0
"cell-cell signaling","Serine/threonine-protein kinase PCTAIRE-1",20,0
"cellular protein modification process","Serine/threonine-protein kinase PCTAIRE-1",20,0
"multicellular organismal development","Serine/threonine-protein kinase PCTAIRE-1",20,0
"phosphorylation","Serine/threonine-protein kinase PCTAIRE-1",20,0
"regulation of protein localization","Serine/threonine-protein kinase PCTAIRE-1",20,0
"reproduction","Serine/threonine-protein kinase PCTAIRE-1",20,0
"transport","Serine/threonine-protein kinase PCTAIRE-1",20,0
"vesicle-mediated transport","Serine/threonine-protein kinase PCTAIRE-1",20,0
"cell cycle","Serine/threonine-protein kinase PLK4",33,0
"cell differentiation","Serine/threonine-protein kinase PLK4",33,0
"cellular component assembly","Serine/threonine-protein kinase PLK4",33,0
"cellular protein modification process","Serine/threonine-protein kinase PLK4",33,0
"cytoskeleton organization","Serine/threonine-protein kinase PLK4",33,0
"embryo development","Serine/threonine-protein kinase PLK4",33,0
"microtubule-based process","Serine/threonine-protein kinase PLK4",33,0
"phosphorylation","Serine/threonine-protein kinase PLK4",33,0
"reproduction","Serine/threonine-protein kinase PLK4",33,0
"anatomical structure development","Serine/threonine-protein kinase RAF",26,0
"cell death","Serine/threonine-protein kinase RAF",26,0
"cell differentiation","Serine/threonine-protein kinase RAF",26,0
"cell proliferation","Serine/threonine-protein kinase RAF",26,0
"cell-cell signaling","Serine/threonine-protein kinase RAF",26,0
"cellular protein modification process","Serine/threonine-protein kinase RAF",26,0
"cytoskeleton organization","Serine/threonine-protein kinase RAF",26,0
"homeostatic process","Serine/threonine-protein kinase RAF",26,0
"immune system process","Serine/threonine-protein kinase RAF",26,0
"multicellular organismal development","Serine/threonine-protein kinase RAF",26,0
"negative regulation of endopeptidase activity","Serine/threonine-protein kinase RAF",26,0
"phosphorylation","Serine/threonine-protein kinase RAF",26,0
"positive regulation of catalytic activity","Serine/threonine-protein kinase RAF",26,0
"protein complex assembly","Serine/threonine-protein kinase RAF",26,0
"response to stress","Serine/threonine-protein kinase RAF",26,0
"signal transduction","Serine/threonine-protein kinase RAF",26,0
"transmembrane transport","Serine/threonine-protein kinase RAF",26,0
"transport","Serine/threonine-protein kinase RAF",26,0
"cell cycle","Serine/threonine-protein kinase SIK1",11,0
"cell differentiation","Serine/threonine-protein kinase SIK1",11,0
"cellular protein modification process","Serine/threonine-protein kinase SIK1",11,0
"multicellular organismal development","Serine/threonine-protein kinase SIK1",11,0
"phosphorylation","Serine/threonine-protein kinase SIK1",11,0
"positive regulation of apoptotic process","Serine/threonine-protein kinase SIK1",11,0
"signal transduction","Serine/threonine-protein kinase SIK1",11,0
"cell cycle","Serine/threonine-protein kinase tousled-like 2",5,0
"cellular protein modification process","Serine/threonine-protein kinase tousled-like 2",5,0
"chromosome organization","Serine/threonine-protein kinase tousled-like 2",5,0
"chromosome segregation","Serine/threonine-protein kinase tousled-like 2",5,0
"phosphorylation","Serine/threonine-protein kinase tousled-like 2",5,0
"response to stress","Serine/threonine-protein kinase tousled-like 2",5,0
"signal transduction","Serine/threonine-protein kinase tousled-like 2",5,0
"anatomical structure development","Stem cell growth factor receptor",192,7
"cell adhesion","Stem cell growth factor receptor",192,7
"cell death","Stem cell growth factor receptor",192,7
"cell differentiation","Stem cell growth factor receptor",192,7
"cell division","Stem cell growth factor receptor",192,7
"cell motility","Stem cell growth factor receptor",192,7
"cell proliferation","Stem cell growth factor receptor",192,7
"cellular component assembly","Stem cell growth factor receptor",192,7
"cellular protein modification process","Stem cell growth factor receptor",192,7
"cytoskeleton organization","Stem cell growth factor receptor",192,7
"embryo development","Stem cell growth factor receptor",192,7
"homeostatic process","Stem cell growth factor receptor",192,7
"immune system process","Stem cell growth factor receptor",192,7
"lipid metabolic process","Stem cell growth factor receptor",192,7
"multicellular organismal development","Stem cell growth factor receptor",192,7
"neurological system process","Stem cell growth factor receptor",192,7
"phosphorylation","Stem cell growth factor receptor",192,7
"pigmentation","Stem cell growth factor receptor",192,7
"positive regulation of catalytic activity","Stem cell growth factor receptor",192,7
"reproduction","Stem cell growth factor receptor",192,7
"response to stress","Stem cell growth factor receptor",192,7
"signal transduction","Stem cell growth factor receptor",192,7
"vesicle-mediated transport","Stem cell growth factor receptor",192,7
"anatomical structure development","TGF-beta receptor type I",93,0
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type I",93,0
"cell cycle","TGF-beta receptor type I",93,0
"cell death","TGF-beta receptor type I",93,0
"cell differentiation","TGF-beta receptor type I",93,0
"cell morphogenesis","TGF-beta receptor type I",93,0
"cell motility","TGF-beta receptor type I",93,0
"cellular protein modification process","TGF-beta receptor type I",93,0
"embryo development","TGF-beta receptor type I",93,0
"extracellular matrix organization","TGF-beta receptor type I",93,0
"immune system process","TGF-beta receptor type I",93,0
"multicellular organismal development","TGF-beta receptor type I",93,0
"phosphorylation","TGF-beta receptor type I",93,0
"positive regulation of apoptotic process","TGF-beta receptor type I",93,0
"positive regulation of catalytic activity","TGF-beta receptor type I",93,0
"regulation of protein localization","TGF-beta receptor type I",93,0
"reproduction","TGF-beta receptor type I",93,0
"response to stress","TGF-beta receptor type I",93,0
"signal transduction","TGF-beta receptor type I",93,0
"aging","TGF-beta receptor type II",20,0
"anatomical structure development","TGF-beta receptor type II",20,0
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type II",20,0
"cell death","TGF-beta receptor type II",20,0
"cell differentiation","TGF-beta receptor type II",20,0
"cellular protein modification process","TGF-beta receptor type II",20,0
"embryo development","TGF-beta receptor type II",20,0
"female pregnancy","TGF-beta receptor type II",20,0
"growth","TGF-beta receptor type II",20,0
