"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Hydroxycarboxylic acid receptor 2","Schizophrenia",372,0,"Hydroxycarboxylic acid receptor"
"MAP kinase ERK1","Schizophrenia",58,1,"CMGC protein kinase ERK subfamily"
"MAP kinase ERK2","Schizophrenia",1075,1,"CMGC protein kinase ERK subfamily"
"MAP kinase p38 alpha","Schizophrenia",1328,9,"CMGC protein kinase p38 subfamily"
"Mu opioid receptor","Schizophrenia",1577,3,"Opioid receptor"
"Nerve growth factor receptor Trk-A","Schizophrenia",970,1,"Tyrosine protein kinase Trk family"
"Serine-protein kinase ATM","Schizophrenia",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Schizophrenia",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 2","Schizophrenia",36,0,"STE protein kinase PAKA subfamily"
"Tyrosine-protein kinase FYN","Schizophrenia",84,0,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 2","Schizophrenia",2535,4,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms",624,1,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Mammary Neoplasms",148,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Mammary Neoplasms",3615,2,"Cannabinoid receptor"
"Endothelin receptor ET-B","Mammary Neoplasms",11,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Mammary Neoplasms",240,0,"Tyrosine protein kinase FGFR family"
"G-protein coupled estrogen receptor 1","Mammary Neoplasms",4,0,"Steroid-like ligand receptor"
"Insulin-like growth factor I receptor","Mammary Neoplasms",1068,2,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Mammary Neoplasms",445,3,"Tyrosine protein kinase PDGFR family"
"Mitogen-activated protein kinase kinase kinase 1","Mammary Neoplasms",12,0,"STE protein kinase STE11 family"
"Serine-protein kinase ATM","Mammary Neoplasms",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Mammary Neoplasms",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 1","Mammary Neoplasms",199,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Mammary Neoplasms",294,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Mammary Neoplasms",437,12,"Tyrosine protein kinase PDGFR family"
"TGF-beta receptor type II","Mammary Neoplasms",56,0,"TKL protein kinase STKR Type 2 subfamily"
"Tyrosine-protein kinase ABL","Mammary Neoplasms",973,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase SRC","Mammary Neoplasms",458,2,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Mammary Neoplasms",162,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Mammary Neoplasms",2535,4,"Tyrosine protein kinase VEGFR family"
"3-phosphoinositide dependent protein kinase-1","Mammary Neoplasms, Human",624,1,"AGC protein kinase PDK1 subfamily"
"C-X-C chemokine receptor type 4","Mammary Neoplasms, Human",148,1,"CXC chemokine receptor"
"Cannabinoid CB2 receptor","Mammary Neoplasms, Human",3615,2,"Cannabinoid receptor"
"Endothelin receptor ET-B","Mammary Neoplasms, Human",11,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Mammary Neoplasms, Human",240,0,"Tyrosine protein kinase FGFR family"
"G-protein coupled estrogen receptor 1","Mammary Neoplasms, Human",4,0,"Steroid-like ligand receptor"
"Insulin-like growth factor I receptor","Mammary Neoplasms, Human",1068,2,"Tyrosine protein kinase InsR family"
"Macrophage colony stimulating factor  receptor","Mammary Neoplasms, Human",445,3,"Tyrosine protein kinase PDGFR family"
"Mitogen-activated protein kinase kinase kinase 1","Mammary Neoplasms, Human",12,0,"STE protein kinase STE11 family"
"Serine-protein kinase ATM","Mammary Neoplasms, Human",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase AKT","Mammary Neoplasms, Human",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase PAK 1","Mammary Neoplasms, Human",199,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Mammary Neoplasms, Human",294,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Mammary Neoplasms, Human",437,12,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase ABL","Mammary Neoplasms, Human",973,3,"Tyrosine protein kinase Abl family"
"Tyrosine-protein kinase SRC","Mammary Neoplasms, Human",458,2,"Tyrosine protein kinase Src family"
"Vascular endothelial growth factor receptor 1","Mammary Neoplasms, Human",162,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Mammary Neoplasms, Human",2535,4,"Tyrosine protein kinase VEGFR family"
"CaM kinase II alpha","Intellectual Disability",23,0,"CAMK protein kinase CAMK2 family"
"CaM kinase II beta","Intellectual Disability",15,0,"CAMK protein kinase CAMK2 family"
"CaM kinase II gamma","Intellectual Disability",17,0,"CAMK protein kinase CAMK2 family"
"Dual specificity mitogen-activated protein kinase kinase 1","Intellectual Disability",247,7,"STE protein kinase STE7 family"
"Dual specificity mitogen-activated protein kinase kinase 2","Intellectual Disability",48,2,"STE protein kinase STE7 family"
"Endothelin receptor ET-B","Intellectual Disability",11,0,"Endothelin receptor"
"Fibroblast growth factor receptor 2","Intellectual Disability",240,0,"Tyrosine protein kinase FGFR family"
"Inhibitor of nuclear factor kappa B kinase alpha subunit","Intellectual Disability",42,0,"Other protein kinase group"
"Insulin-like growth factor I receptor","Intellectual Disability",1068,2,"Tyrosine protein kinase InsR family"
"Interleukin-1 receptor-associated kinase 1","Intellectual Disability",45,0,"TKL protein kinase IRAK family"
"LIM domain kinase 1","Intellectual Disability",230,0,"TKL protein kinase LIMK subfamily"
"Macrophage colony stimulating factor  receptor","Intellectual Disability",445,3,"Tyrosine protein kinase PDGFR family"
"Mitogen-activated protein kinase kinase kinase 1","Intellectual Disability",12,0,"STE protein kinase STE11 family"
"Nerve growth factor receptor Trk-A","Intellectual Disability",970,1,"Tyrosine protein kinase Trk family"
"Protein kinase C mu","Intellectual Disability",56,0,"CAMK protein kinase PKD family"
"Ribosomal protein S6 kinase alpha 3","Intellectual Disability",210,0,"CAMK protein kinase RSKb subfamily"
"Serine/threonine-protein kinase AKT","Intellectual Disability",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Intellectual Disability",1484,3,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase PAK 3","Intellectual Disability",24,0,"STE protein kinase PAKA subfamily"
"Serine/threonine-protein kinase RAF","Intellectual Disability",294,0,"TKL protein kinase RAF family"
"Stem cell growth factor receptor","Intellectual Disability",437,12,"Tyrosine protein kinase PDGFR family"
"TGF-beta receptor type I","Intellectual Disability",488,1,"TKL protein kinase STKR Type 1 subfamily"
"TGF-beta receptor type II","Intellectual Disability",56,0,"TKL protein kinase STKR Type 2 subfamily"
"Tyrosine-protein kinase BTK","Intellectual Disability",647,1,"Tyrosine protein kinase Tec family"
"Tyrosine-protein kinase JAK3","Intellectual Disability",1543,2,"Tyrosine protein kinase JakB family"
"Tyrosine-protein kinase TIE-2","Intellectual Disability",93,3,"Tyrosine protein kinase Tie family"
"Tyrosine-protein kinase receptor RET","Intellectual Disability",363,6,"Tyrosine protein kinase Ret family"
"Cannabinoid CB2 receptor","Leukemia, Myelocytic, Acute",3615,2,"Cannabinoid receptor"
"Cyclin-dependent kinase 6","Leukemia, Myelocytic, Acute",278,2,"CMGC protein kinase group"
"Death-associated protein kinase 1","Leukemia, Myelocytic, Acute",35,0,"CAMK protein kinase DAPK family"
"G-protein coupled receptor 183","Leukemia, Myelocytic, Acute",22,0,"Family A G protein-coupled receptor"
"Macrophage colony stimulating factor  receptor","Leukemia, Myelocytic, Acute",445,3,"Tyrosine protein kinase PDGFR family"
"Stem cell growth factor receptor","Leukemia, Myelocytic, Acute",437,12,"Tyrosine protein kinase PDGFR family"
"Tyrosine-protein kinase JAK1","Leukemia, Myelocytic, Acute",1592,4,"Tyrosine protein kinase JakB family"
"Tyrosine-protein kinase JAK2","Leukemia, Myelocytic, Acute",2397,5,"Tyrosine protein kinase JakB family"
"Tyrosine-protein kinase receptor FLT3","Leukemia, Myelocytic, Acute",697,14,"Tyrosine protein kinase PDGFR family"
"Bradykinin B2 receptor","Bipolar Disorder",54,0,"Bradykinin receptor"
"CaM kinase II alpha","Bipolar Disorder",23,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Bipolar Disorder",3615,2,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Bipolar Disorder",240,0,"Tyrosine protein kinase FGFR family"
"MAP kinase ERK2","Bipolar Disorder",1075,1,"CMGC protein kinase ERK subfamily"
"Nerve growth factor receptor Trk-A","Bipolar Disorder",970,1,"Tyrosine protein kinase Trk family"
"Serine/threonine-protein kinase AKT","Bipolar Disorder",1270,0,"AGC protein kinase AKT family"
"Sphingosine 1-phosphate receptor Edg-1","Bipolar Disorder",1523,2,"EDG receptor"
"Tyrosine-protein kinase FYN","Bipolar Disorder",84,0,"Tyrosine protein kinase Src family"
"CaM kinase IV","Adenocarcinoma of lung (disorder)",13,0,"CAMK protein kinase CAMK1 family"
"DNA-dependent protein kinase","Adenocarcinoma of lung (disorder)",188,0,"Atypical protein kinase PIKK family"
"Dual specificity mitogen-activated protein kinase kinase 1","Adenocarcinoma of lung (disorder)",247,7,"STE protein kinase STE7 family"
"Eukaryotic translation initiation factor 2-alpha kinase 1","Adenocarcinoma of lung (disorder)",34,0,"Other protein kinase HRI"
"Fibroblast growth factor receptor 2","Adenocarcinoma of lung (disorder)",240,0,"Tyrosine protein kinase FGFR family"
"Interferon-induced, double-stranded RNA-activated protein kinase","Adenocarcinoma of lung (disorder)",88,0,"Other protein kinase PKR"
"Interleukin-1 receptor-associated kinase 1","Adenocarcinoma of lung (disorder)",45,0,"TKL protein kinase IRAK family"
"MAP kinase p38 alpha","Adenocarcinoma of lung (disorder)",1328,9,"CMGC protein kinase p38 subfamily"
"Non-receptor tyrosine-protein kinase TNK1","Adenocarcinoma of lung (disorder)",24,0,"Tyrosine protein kinase Ack family"
"Serine-protein kinase ATM","Adenocarcinoma of lung (disorder)",46,0,"Atypical protein kinase PIKK family"
"Serine/threonine-protein kinase 11","Adenocarcinoma of lung (disorder)",13,0,"CAMK protein kinase LKB subfamily"
"Serine/threonine-protein kinase AKT","Adenocarcinoma of lung (disorder)",1270,0,"AGC protein kinase AKT family"
"Serine/threonine-protein kinase B-raf","Adenocarcinoma of lung (disorder)",1484,3,"TKL protein kinase RAF family"
"Serine/threonine-protein kinase D2","Adenocarcinoma of lung (disorder)",20,0,"CAMK protein kinase PKD family"
"Serine/threonine-protein kinase RAF","Adenocarcinoma of lung (disorder)",294,0,"TKL protein kinase RAF family"
"Tyrosine kinase non-receptor protein 2","Adenocarcinoma of lung (disorder)",394,0,"Tyrosine protein kinase Ack family"
"Tyrosine-protein kinase TEC","Adenocarcinoma of lung (disorder)",20,0,"Tyrosine protein kinase Tec family"
"Vascular endothelial growth factor receptor 1","Adenocarcinoma of lung (disorder)",162,0,"Tyrosine protein kinase VEGFR family"
"Vascular endothelial growth factor receptor 2","Adenocarcinoma of lung (disorder)",2535,4,"Tyrosine protein kinase VEGFR family"
"CaM kinase II alpha","Depressive disorder",23,0,"CAMK protein kinase CAMK2 family"
"Cannabinoid CB2 receptor","Depressive disorder",3615,2,"Cannabinoid receptor"
"Fibroblast growth factor receptor 2","Depressive disorder",240,0,"Tyrosine protein kinase FGFR family"
"Kappa opioid receptor","Depressive disorder",1605,1,"Opioid receptor"
"MAP kinase ERK1","Depressive disorder",58,1,"CMGC protein kinase ERK subfamily"
"Mu opioid receptor","Depressive disorder",1577,3,"Opioid receptor"
"Serine/threonine-protein kinase AKT","Depressive disorder",1270,0,"AGC protein kinase AKT family"
