"go_pref_name","target_pref_name","No_Bioactivities","No_Drug_Efficacy_Target_Annotations"
"cellular protein modification process","Hepatocyte growth factor receptor",2414,14
"locomotion","Hepatocyte growth factor receptor",2414,14
"multicellular organismal development","Hepatocyte growth factor receptor",2414,14
"phosphorylation","Hepatocyte growth factor receptor",2414,14
"signal transduction","Hepatocyte growth factor receptor",2414,14
"biosynthetic process","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"cellular nitrogen compound metabolic process","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"cellular protein modification process","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"immune system process","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"phosphorylation","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"positive regulation of apoptotic process","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"positive regulation of catalytic activity","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"regulation of catalytic activity","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"response to stress","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"response to toxic substance","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"signal transduction","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"symbiosis, encompassing mutualism through parasitism","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"translation","Interferon-induced, double-stranded RNA-activated protein kinase",88,0
"cell motility","Interleukin-1 receptor-associated kinase 4",246,0
"cellular protein modification process","Interleukin-1 receptor-associated kinase 4",246,0
"immune system process","Interleukin-1 receptor-associated kinase 4",246,0
"phosphorylation","Interleukin-1 receptor-associated kinase 4",246,0
"response to stress","Interleukin-1 receptor-associated kinase 4",246,0
"signal transduction","Interleukin-1 receptor-associated kinase 4",246,0
"anatomical structure development","MAP kinase ERK1",58,1
"anatomical structure formation involved in morphogenesis","MAP kinase ERK1",58,1
"biosynthetic process","MAP kinase ERK1",58,1
"cell cycle","MAP kinase ERK1",58,1
"cell death","MAP kinase ERK1",58,1
"cell differentiation","MAP kinase ERK1",58,1
"cell morphogenesis","MAP kinase ERK1",58,1
"cellular nitrogen compound metabolic process","MAP kinase ERK1",58,1
"cellular protein modification process","MAP kinase ERK1",58,1
"embryo development","MAP kinase ERK1",58,1
"immune system process","MAP kinase ERK1",58,1
"lipid metabolic process","MAP kinase ERK1",58,1
"locomotion","MAP kinase ERK1",58,1
"multicellular organismal development","MAP kinase ERK1",58,1
"neurological system process","MAP kinase ERK1",58,1
"nucleocytoplasmic transport","MAP kinase ERK1",58,1
"phosphorylation","MAP kinase ERK1",58,1
"positive regulation of catalytic activity","MAP kinase ERK1",58,1
"protein complex assembly","MAP kinase ERK1",58,1
"protein targeting","MAP kinase ERK1",58,1
"response to stress","MAP kinase ERK1",58,1
"response to toxic substance","MAP kinase ERK1",58,1
"signal transduction","MAP kinase ERK1",58,1
"small molecule metabolic process","MAP kinase ERK1",58,1
"symbiosis, encompassing mutualism through parasitism","MAP kinase ERK1",58,1
"vesicle-mediated transport","MAP kinase ERK1",58,1
"cell death","Mitogen-activated protein kinase kinase kinase 1",12,0
"cellular protein modification process","Mitogen-activated protein kinase kinase kinase 1",12,0
"immune system process","Mitogen-activated protein kinase kinase kinase 1",12,0
"phosphorylation","Mitogen-activated protein kinase kinase kinase 1",12,0
"positive regulation of catalytic activity","Mitogen-activated protein kinase kinase kinase 1",12,0
"signal transduction","Mitogen-activated protein kinase kinase kinase 1",12,0
"biosynthetic process","Mitogen-activated protein kinase kinase kinase 7",126,0
"cell death","Mitogen-activated protein kinase kinase kinase 7",126,0
"cell-cell signaling","Mitogen-activated protein kinase kinase kinase 7",126,0
"cellular nitrogen compound metabolic process","Mitogen-activated protein kinase kinase kinase 7",126,0
"cellular protein modification process","Mitogen-activated protein kinase kinase kinase 7",126,0
"chromosome organization","Mitogen-activated protein kinase kinase kinase 7",126,0
"immune system process","Mitogen-activated protein kinase kinase kinase 7",126,0
"phosphorylation","Mitogen-activated protein kinase kinase kinase 7",126,0
"positive regulation of catalytic activity","Mitogen-activated protein kinase kinase kinase 7",126,0
"response to stress","Mitogen-activated protein kinase kinase kinase 7",126,0
"signal transduction","Mitogen-activated protein kinase kinase kinase 7",126,0
"cell differentiation","Protein kinase C zeta",107,0
"cell morphogenesis","Protein kinase C zeta",107,0
"cell motility","Protein kinase C zeta",107,0
"cellular protein modification process","Protein kinase C zeta",107,0
"cytoskeleton organization","Protein kinase C zeta",107,0
"cytoskeleton-dependent intracellular transport","Protein kinase C zeta",107,0
"growth","Protein kinase C zeta",107,0
"microtubule-based process","Protein kinase C zeta",107,0
"multicellular organismal development","Protein kinase C zeta",107,0
"neurological system process","Protein kinase C zeta",107,0
"phosphorylation","Protein kinase C zeta",107,0
"plasma membrane organization","Protein kinase C zeta",107,0
"positive regulation of catalytic activity","Protein kinase C zeta",107,0
"protein complex assembly","Protein kinase C zeta",107,0
"regulation of catalytic activity","Protein kinase C zeta",107,0
"regulation of protein localization","Protein kinase C zeta",107,0
"response to stress","Protein kinase C zeta",107,0
"signal transduction","Protein kinase C zeta",107,0
"biosynthetic process","Receptor protein-tyrosine kinase erbB-2",524,4
"cell differentiation","Receptor protein-tyrosine kinase erbB-2",524,4
"cell morphogenesis","Receptor protein-tyrosine kinase erbB-2",524,4
"cell proliferation","Receptor protein-tyrosine kinase erbB-2",524,4
"cellular nitrogen compound metabolic process","Receptor protein-tyrosine kinase erbB-2",524,4
"cellular protein modification process","Receptor protein-tyrosine kinase erbB-2",524,4
"lipid metabolic process","Receptor protein-tyrosine kinase erbB-2",524,4
"locomotion","Receptor protein-tyrosine kinase erbB-2",524,4
"multicellular organismal development","Receptor protein-tyrosine kinase erbB-2",524,4
"phosphorylation","Receptor protein-tyrosine kinase erbB-2",524,4
"positive regulation of catalytic activity","Receptor protein-tyrosine kinase erbB-2",524,4
"regulation of protein localization","Receptor protein-tyrosine kinase erbB-2",524,4
"response to stress","Receptor protein-tyrosine kinase erbB-2",524,4
"signal transduction","Receptor protein-tyrosine kinase erbB-2",524,4
"cell death","Receptor tyrosine-protein kinase erbB-3",24,1
"cell differentiation","Receptor tyrosine-protein kinase erbB-3",24,1
"cellular protein modification process","Receptor tyrosine-protein kinase erbB-3",24,1
"lipid metabolic process","Receptor tyrosine-protein kinase erbB-3",24,1
"multicellular organismal development","Receptor tyrosine-protein kinase erbB-3",24,1
"phosphorylation","Receptor tyrosine-protein kinase erbB-3",24,1
"positive regulation of catalytic activity","Receptor tyrosine-protein kinase erbB-3",24,1
"response to stress","Receptor tyrosine-protein kinase erbB-3",24,1
"signal transduction","Receptor tyrosine-protein kinase erbB-3",24,1
"DNA metabolic process","Serine-protein kinase ATM",46,0
"aging","Serine-protein kinase ATM",46,0
"anatomical structure development","Serine-protein kinase ATM",46,0
"anatomical structure formation involved in morphogenesis","Serine-protein kinase ATM",46,0
"biosynthetic process","Serine-protein kinase ATM",46,0
"catabolic process","Serine-protein kinase ATM",46,0
"cell cycle","Serine-protein kinase ATM",46,0
"cell death","Serine-protein kinase ATM",46,0
"cell differentiation","Serine-protein kinase ATM",46,0
"cellular protein modification process","Serine-protein kinase ATM",46,0
"chromosome organization","Serine-protein kinase ATM",46,0
"chromosome segregation","Serine-protein kinase ATM",46,0
"embryo development","Serine-protein kinase ATM",46,0
"homeostatic process","Serine-protein kinase ATM",46,0
"immune system process","Serine-protein kinase ATM",46,0
"lipid metabolic process","Serine-protein kinase ATM",46,0
"multicellular organismal development","Serine-protein kinase ATM",46,0
"nucleobase-containing compound catabolic process","Serine-protein kinase ATM",46,0
"phosphorylation","Serine-protein kinase ATM",46,0
"positive regulation of apoptotic process","Serine-protein kinase ATM",46,0
"reproduction","Serine-protein kinase ATM",46,0
"response to stress","Serine-protein kinase ATM",46,0
"signal transduction","Serine-protein kinase ATM",46,0
"DNA metabolic process","Serine-protein kinase ATR",102,0
"aging","Serine-protein kinase ATR",102,0
"biosynthetic process","Serine-protein kinase ATR",102,0
"cell cycle","Serine-protein kinase ATR",102,0
"cellular protein modification process","Serine-protein kinase ATR",102,0
"multicellular organismal development","Serine-protein kinase ATR",102,0
"phosphorylation","Serine-protein kinase ATR",102,0
"response to stress","Serine-protein kinase ATR",102,0
"aging","Serine/threonine-protein kinase AKT",1270,0
"anatomical structure development","Serine/threonine-protein kinase AKT",1270,0
"biosynthetic process","Serine/threonine-protein kinase AKT",1270,0
"carbohydrate metabolic process","Serine/threonine-protein kinase AKT",1270,0
"catabolic process","Serine/threonine-protein kinase AKT",1270,0
"cell death","Serine/threonine-protein kinase AKT",1270,0
"cell differentiation","Serine/threonine-protein kinase AKT",1270,0
"cell proliferation","Serine/threonine-protein kinase AKT",1270,0
"cell-cell signaling","Serine/threonine-protein kinase AKT",1270,0
"cellular nitrogen compound metabolic process","Serine/threonine-protein kinase AKT",1270,0
"cellular protein modification process","Serine/threonine-protein kinase AKT",1270,0
"circulatory system process","Serine/threonine-protein kinase AKT",1270,0
"embryo development","Serine/threonine-protein kinase AKT",1270,0
"female pregnancy","Serine/threonine-protein kinase AKT",1270,0
"generation of precursor metabolites and energy","Serine/threonine-protein kinase AKT",1270,0
"homeostatic process","Serine/threonine-protein kinase AKT",1270,0
"immune system process","Serine/threonine-protein kinase AKT",1270,0
"metabolic process","Serine/threonine-protein kinase AKT",1270,0
"mitochondrion organization","Serine/threonine-protein kinase AKT",1270,0
"multicellular organismal development","Serine/threonine-protein kinase AKT",1270,0
"negative regulation of endopeptidase activity","Serine/threonine-protein kinase AKT",1270,0
"nucleocytoplasmic transport","Serine/threonine-protein kinase AKT",1270,0
"phosphorylation","Serine/threonine-protein kinase AKT",1270,0
"plasma membrane organization","Serine/threonine-protein kinase AKT",1270,0
"positive regulation of apoptotic process","Serine/threonine-protein kinase AKT",1270,0
"positive regulation of catalytic activity","Serine/threonine-protein kinase AKT",1270,0
"protein targeting","Serine/threonine-protein kinase AKT",1270,0
"regulation of catalytic activity","Serine/threonine-protein kinase AKT",1270,0
"regulation of protein localization","Serine/threonine-protein kinase AKT",1270,0
"reproduction","Serine/threonine-protein kinase AKT",1270,0
"response to stress","Serine/threonine-protein kinase AKT",1270,0
"signal transduction","Serine/threonine-protein kinase AKT",1270,0
"small molecule metabolic process","Serine/threonine-protein kinase AKT",1270,0
"translation","Serine/threonine-protein kinase AKT",1270,0
"transport","Serine/threonine-protein kinase AKT",1270,0
"catabolic process","Serine/threonine-protein kinase Aurora-A",1316,6
"cell cycle","Serine/threonine-protein kinase Aurora-A",1316,6
"cell differentiation","Serine/threonine-protein kinase Aurora-A",1316,6
"cell division","Serine/threonine-protein kinase Aurora-A",1316,6
"cell morphogenesis","Serine/threonine-protein kinase Aurora-A",1316,6
"cellular protein modification process","Serine/threonine-protein kinase Aurora-A",1316,6
"chromosome organization","Serine/threonine-protein kinase Aurora-A",1316,6
"cytoskeleton organization","Serine/threonine-protein kinase Aurora-A",1316,6
"growth","Serine/threonine-protein kinase Aurora-A",1316,6
"microtubule-based process","Serine/threonine-protein kinase Aurora-A",1316,6
"mitotic nuclear division","Serine/threonine-protein kinase Aurora-A",1316,6
"multicellular organismal development","Serine/threonine-protein kinase Aurora-A",1316,6
"phosphorylation","Serine/threonine-protein kinase Aurora-A",1316,6
"protein complex assembly","Serine/threonine-protein kinase Aurora-A",1316,6
"proteolysis","Serine/threonine-protein kinase Aurora-A",1316,6
"reproduction","Serine/threonine-protein kinase Aurora-A",1316,6
"response to stress","Serine/threonine-protein kinase Aurora-A",1316,6
"signal transduction","Serine/threonine-protein kinase Aurora-A",1316,6
"anatomical structure development","Serine/threonine-protein kinase B-raf",1484,3
"cell adhesion","Serine/threonine-protein kinase B-raf",1484,3
"cell differentiation","Serine/threonine-protein kinase B-raf",1484,3
"cellular protein modification process","Serine/threonine-protein kinase B-raf",1484,3
"cellular response to drug","Serine/threonine-protein kinase B-raf",1484,3
"immune system process","Serine/threonine-protein kinase B-raf",1484,3
"membrane organization","Serine/threonine-protein kinase B-raf",1484,3
"multicellular organismal development","Serine/threonine-protein kinase B-raf",1484,3
"neurological system process","Serine/threonine-protein kinase B-raf",1484,3
"phosphorylation","Serine/threonine-protein kinase B-raf",1484,3
"positive regulation of catalytic activity","Serine/threonine-protein kinase B-raf",1484,3
"protein complex assembly","Serine/threonine-protein kinase B-raf",1484,3
"signal transduction","Serine/threonine-protein kinase B-raf",1484,3
"transport","Serine/threonine-protein kinase B-raf",1484,3
"DNA metabolic process","Serine/threonine-protein kinase Chk2",75,0
"aging","Serine/threonine-protein kinase Chk2",75,0
"biosynthetic process","Serine/threonine-protein kinase Chk2",75,0
"catabolic process","Serine/threonine-protein kinase Chk2",75,0
"cell cycle","Serine/threonine-protein kinase Chk2",75,0
"cell death","Serine/threonine-protein kinase Chk2",75,0
"cell division","Serine/threonine-protein kinase Chk2",75,0
"cellular nitrogen compound metabolic process","Serine/threonine-protein kinase Chk2",75,0
"cellular protein modification process","Serine/threonine-protein kinase Chk2",75,0
"cellular response to drug","Serine/threonine-protein kinase Chk2",75,0
"cytoskeleton organization","Serine/threonine-protein kinase Chk2",75,0
"microtubule-based process","Serine/threonine-protein kinase Chk2",75,0
"mitotic nuclear division","Serine/threonine-protein kinase Chk2",75,0
"phosphorylation","Serine/threonine-protein kinase Chk2",75,0
"positive regulation of apoptotic process","Serine/threonine-protein kinase Chk2",75,0
"protein complex assembly","Serine/threonine-protein kinase Chk2",75,0
"protein stabilization","Serine/threonine-protein kinase Chk2",75,0
"response to stress","Serine/threonine-protein kinase Chk2",75,0
"signal transduction","Serine/threonine-protein kinase Chk2",75,0
"cell adhesion","Serine/threonine-protein kinase PAK6",16,0
"cell death","Serine/threonine-protein kinase PAK6",16,0
"cellular protein modification process","Serine/threonine-protein kinase PAK6",16,0
"cytoskeleton organization","Serine/threonine-protein kinase PAK6",16,0
"phosphorylation","Serine/threonine-protein kinase PAK6",16,0
"signal transduction","Serine/threonine-protein kinase PAK6",16,0
"aging","TGF-beta receptor type II",56,0
"anatomical structure development","TGF-beta receptor type II",56,0
"anatomical structure formation involved in morphogenesis","TGF-beta receptor type II",56,0
"cell death","TGF-beta receptor type II",56,0
"cell differentiation","TGF-beta receptor type II",56,0
"cellular protein modification process","TGF-beta receptor type II",56,0
"embryo development","TGF-beta receptor type II",56,0
"female pregnancy","TGF-beta receptor type II",56,0
"growth","TGF-beta receptor type II",56,0
"immune system process","TGF-beta receptor type II",56,0
"multicellular organismal development","TGF-beta receptor type II",56,0
"phosphorylation","TGF-beta receptor type II",56,0
"positive regulation of catalytic activity","TGF-beta receptor type II",56,0
"response to stress","TGF-beta receptor type II",56,0
"signal transduction","TGF-beta receptor type II",56,0
"vesicle-mediated transport","TGF-beta receptor type II",56,0
"cell differentiation","Tyrosine-protein kinase JAK1",1592,4
"cell motility","Tyrosine-protein kinase JAK1",1592,4
"cellular protein modification process","Tyrosine-protein kinase JAK1",1592,4
"immune system process","Tyrosine-protein kinase JAK1",1592,4
"phosphorylation","Tyrosine-protein kinase JAK1",1592,4
"positive regulation of catalytic activity","Tyrosine-protein kinase JAK1",1592,4
"response to antibiotic","Tyrosine-protein kinase JAK1",1592,4
"response to stress","Tyrosine-protein kinase JAK1",1592,4
"signal transduction","Tyrosine-protein kinase JAK1",1592,4
"anatomical structure development","Tyrosine-protein kinase JAK2",2397,5
"cell death","Tyrosine-protein kinase JAK2",2397,5
"cell differentiation","Tyrosine-protein kinase JAK2",2397,5
"cell motility","Tyrosine-protein kinase JAK2",2397,5
"cellular protein modification process","Tyrosine-protein kinase JAK2",2397,5
"chromosome organization","Tyrosine-protein kinase JAK2",2397,5
"cytoskeleton organization","Tyrosine-protein kinase JAK2",2397,5
"homeostatic process","Tyrosine-protein kinase JAK2",2397,5
"immune system process","Tyrosine-protein kinase JAK2",2397,5
"multicellular organismal development","Tyrosine-protein kinase JAK2",2397,5
"nucleocytoplasmic transport","Tyrosine-protein kinase JAK2",2397,5
"phosphorylation","Tyrosine-protein kinase JAK2",2397,5
"positive regulation of apoptotic process","Tyrosine-protein kinase JAK2",2397,5
"positive regulation of catalytic activity","Tyrosine-protein kinase JAK2",2397,5
"protein complex assembly","Tyrosine-protein kinase JAK2",2397,5
"protein targeting","Tyrosine-protein kinase JAK2",2397,5
"regulation of protein localization","Tyrosine-protein kinase JAK2",2397,5
"response to antibiotic","Tyrosine-protein kinase JAK2",2397,5
"response to stress","Tyrosine-protein kinase JAK2",2397,5
"signal transduction","Tyrosine-protein kinase JAK2",2397,5
"zymogen activation","Tyrosine-protein kinase JAK2",2397,5
"anatomical structure formation involved in morphogenesis","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"cellular protein modification process","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"embryo development","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"homeostatic process","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"immune system process","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"metabolic process","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"phosphorylation","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"positive regulation of catalytic activity","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"response to stress","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
"signal transduction","cAMP-dependent protein kinase beta-1 catalytic subunit",10,0
