"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Breakpoint cluster region protein","Unipolar Depression",3,0,"Atypical protein kinase BCR family"
"Cannabinoid CB1 receptor","Unipolar Depression",1106,4,"Cannabinoid receptor"
"Dopamine D2 receptor","Unipolar Depression",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Unipolar Depression",896,0,"Dopamine receptor"
"Dopamine D5 receptor","Unipolar Depression",80,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Unipolar Depression",5,0,"CMGC protein kinase GSK family"
"Neuropeptide Y receptor type 1","Unipolar Depression",84,0,"Neuropeptide Y receptor"
"Oxytocin receptor","Unipolar Depression",165,1,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase Sgk1","Unipolar Depression",6,0,"AGC protein kinase SGK family"
"Serotonin 1a (5-HT1a) receptor","Unipolar Depression",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Unipolar Depression",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Unipolar Depression",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Unipolar Depression",337,0,"Serotonin receptor"
"Adenosine A2a receptor","Mood Disorders",1477,4,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Mood Disorders",228,0,"Adrenergic receptor"
"Alpha-2a adrenergic receptor","Mood Disorders",237,0,"Adrenergic receptor"
"Alpha-2c adrenergic receptor","Mood Disorders",185,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Mood Disorders",232,2,"Adrenergic receptor"
"Dopamine D2 receptor","Mood Disorders",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Mood Disorders",896,0,"Dopamine receptor"
"Neurokinin 1 receptor","Mood Disorders",394,2,"Neurokinin receptor"
"Neurotensin receptor 1","Mood Disorders",3,1,"Neurotensin receptor"
"Serine/threonine-protein kinase AKT","Mood Disorders",390,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Mood Disorders",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Mood Disorders",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Mood Disorders",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Mood Disorders",337,0,"Serotonin receptor"
"Alpha-2a adrenergic receptor","Mental Depression",237,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Mental Depression",232,2,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Mental Depression",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Mental Depression",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Mental Depression",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Mental Depression",896,0,"Dopamine receptor"
"Neurokinin 1 receptor","Mental Depression",394,2,"Neurokinin receptor"
"Oxytocin receptor","Mental Depression",165,1,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase AKT","Mental Depression",390,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Mental Depression",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Mental Depression",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Mental Depression",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Mental Depression",337,0,"Serotonin receptor"
"Alpha-1a adrenergic receptor","Bipolar Disorder",394,2,"Adrenergic receptor"
"Alpha-2c adrenergic receptor","Bipolar Disorder",185,0,"Adrenergic receptor"
"Beta-2 adrenergic receptor","Bipolar Disorder",183,1,"Adrenergic receptor"
"Bradykinin B2 receptor","Bipolar Disorder",105,0,"Bradykinin receptor"
"Breakpoint cluster region protein","Bipolar Disorder",3,0,"Atypical protein kinase BCR family"
"Cannabinoid CB1 receptor","Bipolar Disorder",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Bipolar Disorder",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Bipolar Disorder",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Bipolar Disorder",896,0,"Dopamine receptor"
"Dopamine D5 receptor","Bipolar Disorder",80,0,"Dopamine receptor"
"Glycogen synthase kinase-3 alpha","Bipolar Disorder",5,0,"CMGC protein kinase GSK family"
"Neurokinin 1 receptor","Bipolar Disorder",394,2,"Neurokinin receptor"
"Serine/threonine-protein kinase AKT","Bipolar Disorder",390,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Bipolar Disorder",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Bipolar Disorder",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Bipolar Disorder",687,8,"Serotonin receptor"
"Alpha-2a adrenergic receptor","Alcoholic Intoxication, Chronic",237,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Alcoholic Intoxication, Chronic",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Alcoholic Intoxication, Chronic",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Alcoholic Intoxication, Chronic",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Alcoholic Intoxication, Chronic",896,0,"Dopamine receptor"
"Neurokinin 1 receptor","Alcoholic Intoxication, Chronic",394,2,"Neurokinin receptor"
"Neurokinin 3 receptor","Alcoholic Intoxication, Chronic",56,1,"Neurokinin receptor"
"Neurotensin receptor 1","Alcoholic Intoxication, Chronic",3,1,"Neurotensin receptor"
"Nociceptin receptor","Alcoholic Intoxication, Chronic",557,0,"Opioid receptor"
"Serotonin 1a (5-HT1a) receptor","Alcoholic Intoxication, Chronic",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Alcoholic Intoxication, Chronic",252,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Alcoholic Intoxication, Chronic",687,8,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Alcoholic Intoxication, Chronic",337,0,"Serotonin receptor"
"Adenosine A1 receptor","Hypotension",1382,2,"Adenosine receptor"
"Adenosine A2a receptor","Hypotension",1477,4,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Hypotension",228,0,"Adrenergic receptor"
"Alpha-2a adrenergic receptor","Hypotension",237,0,"Adrenergic receptor"
"Bradykinin B2 receptor","Hypotension",105,0,"Bradykinin receptor"
"Cannabinoid CB1 receptor","Hypotension",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Hypotension",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Hypotension",1228,3,"Dopamine receptor"
"Histamine H1 receptor","Hypotension",99,2,"Histamine receptor"
"Serotonin 1b (5-HT1b) receptor","Hypotension",252,1,"Serotonin receptor"
"Serotonin 1d (5-HT1d) receptor","Hypotension",252,1,"Serotonin receptor"
"Adenosine A2a receptor","Absence Seizures",1477,4,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Absence Seizures",228,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Absence Seizures",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Absence Seizures",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Absence Seizures",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Absence Seizures",896,0,"Dopamine receptor"
"Muscarinic acetylcholine receptor M1","Absence Seizures",266,2,"Acetylcholine receptor"
"Serotonin 1a (5-HT1a) receptor","Absence Seizures",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Absence Seizures",252,1,"Serotonin receptor"
"Adenosine A2a receptor","Atonic Absence Seizures",1477,4,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Atonic Absence Seizures",228,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Atonic Absence Seizures",1106,4,"Cannabinoid receptor"
"Dopamine D1 receptor","Atonic Absence Seizures",247,0,"Dopamine receptor"
"Dopamine D2 receptor","Atonic Absence Seizures",1228,3,"Dopamine receptor"
"Dopamine D3 receptor","Atonic Absence Seizures",896,0,"Dopamine receptor"
"Muscarinic acetylcholine receptor M1","Atonic Absence Seizures",266,2,"Acetylcholine receptor"
"Serotonin 1a (5-HT1a) receptor","Atonic Absence Seizures",833,4,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Atonic Absence Seizures",252,1,"Serotonin receptor"
