"protein_class_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","protein_class_short_name"
"Adenosine receptor","Withdrawal Symptoms",1477,4,"Adenosine receptor"
"Cannabinoid receptor","Withdrawal Symptoms",1106,4,"Cannabinoid receptor"
"Dopamine receptor","Withdrawal Symptoms",1228,3,"Dopamine receptor"
"Histamine receptor","Withdrawal Symptoms",72,1,"Histamine receptor"
"Neurokinin receptor","Withdrawal Symptoms",394,2,"Neurokinin receptor"
"Opioid receptor","Withdrawal Symptoms",557,0,"Opioid receptor"
"Acetylcholine receptor","Absence Seizures",266,2,"Acetylcholine receptor"
"Adenosine receptor","Absence Seizures",1477,4,"Adenosine receptor"
"Adrenergic receptor","Absence Seizures",228,0,"Adrenergic receptor"
"Cannabinoid receptor","Absence Seizures",1106,4,"Cannabinoid receptor"
"Dopamine receptor","Absence Seizures",1228,3,"Dopamine receptor"
"Serotonin receptor","Absence Seizures",252,1,"Serotonin receptor"
"Acetylcholine receptor","Atonic Absence Seizures",266,2,"Acetylcholine receptor"
"Adenosine receptor","Atonic Absence Seizures",1477,4,"Adenosine receptor"
"Adrenergic receptor","Atonic Absence Seizures",228,0,"Adrenergic receptor"
"Cannabinoid receptor","Atonic Absence Seizures",1106,4,"Cannabinoid receptor"
"Dopamine receptor","Atonic Absence Seizures",1228,3,"Dopamine receptor"
"Serotonin receptor","Atonic Absence Seizures",252,1,"Serotonin receptor"
"Acetylcholine receptor","Complex partial seizures",266,2,"Acetylcholine receptor"
"Adenosine receptor","Complex partial seizures",1477,4,"Adenosine receptor"
"Adrenergic receptor","Complex partial seizures",228,0,"Adrenergic receptor"
"Cannabinoid receptor","Complex partial seizures",1106,4,"Cannabinoid receptor"
"Dopamine receptor","Complex partial seizures",1228,3,"Dopamine receptor"
"Serotonin receptor","Complex partial seizures",252,1,"Serotonin receptor"
"Acetylcholine receptor","Convulsions",266,2,"Acetylcholine receptor"
"Adenosine receptor","Convulsions",1477,4,"Adenosine receptor"
"Adrenergic receptor","Convulsions",228,0,"Adrenergic receptor"
"Cannabinoid receptor","Convulsions",1106,4,"Cannabinoid receptor"
"Dopamine receptor","Convulsions",1228,3,"Dopamine receptor"
"Serotonin receptor","Convulsions",252,1,"Serotonin receptor"
