"target_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","First*(protein_class_pref_name)"
"Glycogen synthase kinase-3 alpha","Bipolar Disorder",90,1,"CMGC protein kinase GSK family"
"Neurokinin 1 receptor","Bipolar Disorder",422,6,"Neurokinin receptor"
"Serine/threonine-protein kinase AKT","Bipolar Disorder",1270,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Bipolar Disorder",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Bipolar Disorder",167,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Bipolar Disorder",1914,11,"Serotonin receptor"
"Vasopressin V1b receptor","Bipolar Disorder",205,1,"Vasopressin and oxytocin receptor"
"Alpha-2a adrenergic receptor","Mental Depression",201,0,"Adrenergic receptor"
"Beta-1 adrenergic receptor","Mental Depression",457,2,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Mental Depression",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Mental Depression",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Mental Depression",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Mental Depression",1923,1,"Dopamine receptor"
"Neurokinin 1 receptor","Mental Depression",422,6,"Neurokinin receptor"
"Oxytocin receptor","Mental Depression",242,2,"Vasopressin and oxytocin receptor"
"Serine/threonine-protein kinase AKT","Mental Depression",1270,0,"AGC protein kinase AKT family"
"Serotonin 1a (5-HT1a) receptor","Mental Depression",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Mental Depression",167,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Mental Depression",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Mental Depression",944,0,"Serotonin receptor"
"Alpha-2a adrenergic receptor","Alcoholic Intoxication, Chronic",201,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Alcoholic Intoxication, Chronic",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Alcoholic Intoxication, Chronic",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Alcoholic Intoxication, Chronic",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Alcoholic Intoxication, Chronic",1923,1,"Dopamine receptor"
"Neurokinin 1 receptor","Alcoholic Intoxication, Chronic",422,6,"Neurokinin receptor"
"Neurokinin 3 receptor","Alcoholic Intoxication, Chronic",400,2,"Neurokinin receptor"
"Neurotensin receptor 1","Alcoholic Intoxication, Chronic",90,1,"Neurotensin receptor"
"Nociceptin receptor","Alcoholic Intoxication, Chronic",540,0,"Opioid receptor"
"Serotonin 1a (5-HT1a) receptor","Alcoholic Intoxication, Chronic",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Alcoholic Intoxication, Chronic",167,1,"Serotonin receptor"
"Serotonin 2a (5-HT2a) receptor","Alcoholic Intoxication, Chronic",1914,11,"Serotonin receptor"
"Serotonin 7 (5-HT7) receptor","Alcoholic Intoxication, Chronic",944,0,"Serotonin receptor"
"Adenosine A2a receptor","Absence Seizures",2542,11,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Absence Seizures",320,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Absence Seizures",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Absence Seizures",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Absence Seizures",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Absence Seizures",1923,1,"Dopamine receptor"
"Muscarinic acetylcholine receptor M1","Absence Seizures",632,3,"Acetylcholine receptor"
"Serotonin 1a (5-HT1a) receptor","Absence Seizures",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Absence Seizures",167,1,"Serotonin receptor"
"Adenosine A2a receptor","Atonic Absence Seizures",2542,11,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Atonic Absence Seizures",320,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Atonic Absence Seizures",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Atonic Absence Seizures",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Atonic Absence Seizures",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Atonic Absence Seizures",1923,1,"Dopamine receptor"
"Muscarinic acetylcholine receptor M1","Atonic Absence Seizures",632,3,"Acetylcholine receptor"
"Serotonin 1a (5-HT1a) receptor","Atonic Absence Seizures",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Atonic Absence Seizures",167,1,"Serotonin receptor"
"Adenosine A2a receptor","Complex partial seizures",2542,11,"Adenosine receptor"
"Alpha-1b adrenergic receptor","Complex partial seizures",320,0,"Adrenergic receptor"
"Cannabinoid CB1 receptor","Complex partial seizures",2578,6,"Cannabinoid receptor"
"Dopamine D1 receptor","Complex partial seizures",335,0,"Dopamine receptor"
"Dopamine D2 receptor","Complex partial seizures",2622,7,"Dopamine receptor"
"Dopamine D3 receptor","Complex partial seizures",1923,1,"Dopamine receptor"
"Muscarinic acetylcholine receptor M1","Complex partial seizures",632,3,"Acetylcholine receptor"
"Serotonin 1a (5-HT1a) receptor","Complex partial seizures",1442,2,"Serotonin receptor"
"Serotonin 1b (5-HT1b) receptor","Complex partial seizures",167,1,"Serotonin receptor"
