"protein_class_pref_name","diseaseName","No_Bioactivities","No_Drug_Efficacy_Target_Annotations","protein_class_short_name"
"Tyrosine protein kinase InsR family","Intellectual Disability",1068,2,"InsR"
"Tyrosine protein kinase JakB family","Intellectual Disability",1543,2,"Jakb"
"Tyrosine protein kinase PDGFR family","Intellectual Disability",445,3,"Pdgfr"
"Tyrosine protein kinase Ret family","Intellectual Disability",363,6,"Ret"
"Tyrosine protein kinase Tec family","Intellectual Disability",647,1,"Tec"
"Tyrosine protein kinase Tie family","Intellectual Disability",93,3,"Tie"
"Tyrosine protein kinase Trk family","Intellectual Disability",970,1,"Trk"
"AGC protein kinase AKT family","Bipolar Disorder",1270,0,"Akt"
"Bradykinin receptor","Bipolar Disorder",54,0,"Bradykinin receptor"
"CAMK protein kinase CAMK2 family","Bipolar Disorder",23,0,"Camk2"
"CMGC protein kinase ERK subfamily","Bipolar Disorder",1075,1,"Erk"
"Cannabinoid receptor","Bipolar Disorder",3615,2,"Cannabinoid receptor"
"EDG receptor","Bipolar Disorder",1523,2,"EDG receptor"
"Tyrosine protein kinase FGFR family","Bipolar Disorder",240,0,"Fgfr"
"Tyrosine protein kinase Src family","Bipolar Disorder",84,0,"Src"
"Tyrosine protein kinase Trk family","Bipolar Disorder",970,1,"Trk"
"AGC protein kinase AKT family","Colorectal Cancer",1270,0,"Akt"
"AGC protein kinase PKC alpha subfamily","Colorectal Cancer",287,0,"Alpha"
"AGC protein kinase PKC eta subfamily","Colorectal Cancer",99,0,"Eta"
"CAMK protein kinase LKB subfamily","Colorectal Cancer",13,0,"Lkb"
"CAMK protein kinase PKD family","Colorectal Cancer",56,0,"Pkd"
"Histamine receptor","Colorectal Cancer",651,2,"Histamine receptor"
"Purine receptor","Colorectal Cancer",38,0,"Purine receptor"
"TKL protein kinase RAF family","Colorectal Cancer",1484,3,"Raf"
"TKL protein kinase STKR Type 1 subfamily","Colorectal Cancer",488,1,"Type1"
"TKL protein kinase STKR Type 2 subfamily","Colorectal Cancer",56,0,"Type2"
"Tyrosine protein kinase Ret family","Colorectal Cancer",363,6,"Ret"
"Tyrosine protein kinase Src family","Colorectal Cancer",458,2,"Src"
"Tyrosine protein kinase VEGFR family","Colorectal Cancer",2535,4,"Vegfr"
"AGC protein kinase AKT family","Adenocarcinoma of lung (disorder)",1270,0,"Akt"
"Atypical protein kinase PIKK family","Adenocarcinoma of lung (disorder)",188,0,"Pikk"
"CAMK protein kinase CAMK1 family","Adenocarcinoma of lung (disorder)",13,0,"Camkl"
"CAMK protein kinase LKB subfamily","Adenocarcinoma of lung (disorder)",13,0,"Lkb"
"CAMK protein kinase PKD family","Adenocarcinoma of lung (disorder)",20,0,"Pkd"
"CMGC protein kinase p38 subfamily","Adenocarcinoma of lung (disorder)",1328,9,"p38"
"Other protein kinase HRI","Adenocarcinoma of lung (disorder)",34,0,"Hri"
"Other protein kinase PKR","Adenocarcinoma of lung (disorder)",88,0,"Pkr"
"STE protein kinase STE7 family","Adenocarcinoma of lung (disorder)",247,7,"Ste7"
"TKL protein kinase IRAK family","Adenocarcinoma of lung (disorder)",45,0,"Irak"
"TKL protein kinase RAF family","Adenocarcinoma of lung (disorder)",1484,3,"Raf"
"Tyrosine protein kinase Ack family","Adenocarcinoma of lung (disorder)",24,0,"Ack"
"Tyrosine protein kinase FGFR family","Adenocarcinoma of lung (disorder)",240,0,"Fgfr"
"Tyrosine protein kinase Tec family","Adenocarcinoma of lung (disorder)",20,0,"Tec"
"Tyrosine protein kinase VEGFR family","Adenocarcinoma of lung (disorder)",2535,4,"Vegfr"
"AGC protein kinase PKC alpha subfamily","Unipolar Depression",287,0,"Alpha"
"Bradykinin receptor","Unipolar Depression",54,0,"Bradykinin receptor"
"CAMK protein kinase CAMK2 family","Unipolar Depression",23,0,"Camk2"
"CC chemokine receptor","Unipolar Depression",26,0,"CC chemokine receptor"
"Cannabinoid receptor","Unipolar Depression",3615,2,"Cannabinoid receptor"
"STE protein kinase STE7 family","Unipolar Depression",247,7,"Ste7"
"Tyrosine protein kinase JakB family","Unipolar Depression",417,0,"Jakb"
"Tyrosine protein kinase VEGFR family","Unipolar Depression",2535,4,"Vegfr"
